species,mw,z,mz,mz_window,min_ms_intensity,raw_path
[ADP+H]+,427.2,1,428.21,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+Na]+,427.2,1,450.19,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+K]+,427.2,1,466.16,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+2Na-H]+,427.2,1,472.17,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+Na+K-H]+,427.2,1,488.15,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+Na+HPO3]+,427.2,1,530.16,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+2Na+HPO3-H]+,427.2,1,552.14,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[2ADP+H]+,854.4,1,855.41,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[2ADP+2H]2+,854.4,2,428.21,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+EDDA+H]+,603.37,1,604.38,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+EDDA+Na]+,603.37,1,626.36,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+2EDDA+H]+,779.54,1,780.55,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+2EDDA+2H]2+,779.54,2,390.78,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[AMP+H]+,347.06,1,348.07,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[Adenine+H]+,135.05,1,136.06,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[EDDA+H]+,176.17,1,177.18,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[2EDDA+H]+,352.34,1,353.35,3,50,data_2_waters/20260216/20260212_200UM_ADP_1M_EDDA_PH6_0.raw
[ADP+H]+,427.2,1,428.21,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+Na]+,427.2,1,450.19,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+K]+,427.2,1,466.16,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+2Na-H]+,427.2,1,472.17,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+Na+K-H]+,427.2,1,488.15,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+Na+HPO3]+,427.2,1,530.16,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+2Na+HPO3-H]+,427.2,1,552.14,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[2ADP+H]+,854.4,1,855.41,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[2ADP+2H]2+,854.4,2,428.21,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+EDDA+H]+,603.37,1,604.38,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+EDDA+Na]+,603.37,1,626.36,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+2EDDA+H]+,779.54,1,780.55,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+2EDDA+2H]2+,779.54,2,390.78,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[AMP+H]+,347.06,1,348.07,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[Adenine+H]+,135.05,1,136.06,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[EDDA+H]+,176.17,1,177.18,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[2EDDA+H]+,352.34,1,353.35,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_AMAC.raw
[ADP+H]+,427.2,1,428.21,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+Na]+,427.2,1,450.19,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+K]+,427.2,1,466.16,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+2Na-H]+,427.2,1,472.17,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+Na+K-H]+,427.2,1,488.15,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+Na+HPO3]+,427.2,1,530.16,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+2Na+HPO3-H]+,427.2,1,552.14,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[2ADP+H]+,854.4,1,855.41,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[2ADP+2H]2+,854.4,2,428.21,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+EDDA+H]+,603.37,1,604.38,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+EDDA+Na]+,603.37,1,626.36,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+2EDDA+H]+,779.54,1,780.55,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+2EDDA+2H]2+,779.54,2,390.78,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[AMP+H]+,347.06,1,348.07,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[Adenine+H]+,135.05,1,136.06,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[EDDA+H]+,176.17,1,177.18,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[2EDDA+H]+,352.34,1,353.35,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH3_0.raw
[ADP+H]+,427.2,1,428.21,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH4_0.raw
[ADP+Na]+,427.2,1,450.19,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH4_0.raw
[ADP+K]+,427.2,1,466.16,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH4_0.raw
[ADP+2Na-H]+,427.2,1,472.17,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH4_0.raw
[ADP+Na+K-H]+,427.2,1,488.15,3,50,data_2_waters/20260216/20260212_200UM_ADP_200MM_EDDA_PH4_0.raw
